"uniform_id","lang","trialid","ACCURACY"
"en_uk_2","en_uk",12,3
"en_uk_22","en_uk",12,3
"en_uk_23","en_uk",12,2
"en_uk_24","en_uk",12,3
"en_uk_25","en_uk",12,4
"en_uk_27","en_uk",12,2
"en_uk_28","en_uk",12,4
"en_uk_29","en_uk",12,4
"en_uk_30","en_uk",12,3
"en_uk_31","en_uk",12,3
"en_uk_32","en_uk",12,4
"en_uk_33","en_uk",12,2
"en_uk_36","en_uk",12,4
"en_uk_37","en_uk",12,3
"en_uk_38","en_uk",12,4
"en_uk_39","en_uk",12,4
"en_uk_4","en_uk",12,2
"en_uk_40","en_uk",12,4
"en_uk_41","en_uk",12,2
"en_uk_42","en_uk",12,3
"en_uk_43","en_uk",12,2
"en_uk_45","en_uk",12,3
"en_uk_46","en_uk",12,3
"en_uk_47","en_uk",12,1
"en_uk_48","en_uk",12,3
"en_uk_49","en_uk",12,3
