"","uniform_id","trialid","trialnum","itemid","cond","fixid","start","stop","xs","ys","xn","yn","ym","dur","ps","sac.in","sac.out","type","blink","line","line.change","line.let","line.word","letternum","letter","wordnum","word","ianum","ia","sentnum","sent","sent.nwords","trial.x","trial.nwords","word.fix","word.run","word.runid","word.run.fix","word.firstskip","word.refix","word.launch","word.land","word.cland","word.reg.out","word.reg.in","word.reg.out.to","word.reg.in.from","ia.fix","ia.run","ia.runid","ia.run.fix","ia.firstskip","ia.refix","ia.launch","ia.land","ia.cland","ia.reg.out","ia.reg.in","ia.reg.out.to","ia.reg.in.from","sent.word","sent.fix","sent.run","sent.runid","sent.run.fix","sent.firstskip","sent.refix","sent.reg.out","sent.reg.in","sent.reg.out.to","sent.reg.in.from","lang","trial.y","supplementary_id","uniform_id"
"1658974","uk01",1,2,"1",1,22,4982,5148,1641.5,127.2,1641.5,127.2,101,167,569,12,-18,"in",0,1,0,103,20,103,"n",20,"and",20,"and",2,"He has a double natu",23,"In ancient Roman religion and",182,1,1,6,1,0,0,10,2,0,1,0,17,NA,1,1,6,1,0,0,9,3,1,1,0,17,NA,6,5,1,1,5,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658975","uk01",1,2,"1",1,23,5188,5304,1363.6,111.5,1363.6,111.5,101,117,612,-18,-4,"in",1,1,0,85,17,85," ",17,"a",17,"a",2,"He has a double natu",23,"In ancient Roman religion and",182,1,1,7,1,1,0,-16,0,-1,1,1,16,20,1,1,7,1,1,0,-15,1,0,1,1,16,20,3,6,1,1,6,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658976","uk01",1,2,"1",1,24,5422,5599,1314.4,127.4,1314.4,127.4,101,178,620,-4,14,"in",1,1,0,81,16,81," ",16,"has",16,"has",2,"He has a double natu",23,"In ancient Roman religion and",182,2,2,7,1,0,0,-4,0,-2,0,1,NA,17,2,2,7,1,0,0,-3,1,-1,0,1,NA,17,2,7,1,1,7,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658977","uk01",1,2,"1",1,25,5636,5823,1522.6,125.2,1522.6,125.2,101,188,631,14,9,"in",0,1,0,95,19,95,"n",19,"nature",19,"nature",2,"He has a double natu",23,"In ancient Roman religion and",182,2,2,7,1,0,0,13,1,-2.5,0,0,NA,NA,2,2,7,1,0,0,12,2,-1.5,0,0,NA,NA,5,8,1,1,8,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658978","uk01",1,2,"1",1,26,5865,5982,1647.4,116.7,1647.4,116.7,101,118,609,9,-90,"in",0,1,0,104,20,104,"d",20,"and",20,"and",2,"He has a double natu",23,"In ancient Roman religion and",182,2,2,7,1,0,0,6,3,1,0,0,NA,NA,2,2,7,1,0,0,5,4,2,0,0,NA,NA,6,9,1,1,9,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658979","uk01",1,2,"1",1,27,6083,6185,300.2,170.3,300.2,170.3,168,103,633,-90,-9,"in",0,2,1,14,2,121,"t",23,"depicted",23,"depicted",2,"He has a double natu",23,"In ancient Roman religion and",182,1,1,7,1,0,0,-87,6,1.5,1,0,22,NA,1,1,7,1,0,0,-86,7,2.5,1,0,22,NA,9,10,1,1,10,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658980","uk01",1,2,"1",1,28,6214,6439,169.4,170.1,169.4,170.1,168,226,615,-9,2,"in",0,2,0,5,1,112,"l",22,"usually",22,"usually",2,"He has a double natu",23,"In ancient Roman religion and",182,1,1,8,1,1,0,-3,5,1,0,1,NA,23,1,1,8,1,1,0,-2,5,1,0,1,NA,23,8,11,1,1,11,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658981","uk01",1,2,"1",1,29,6450,6562,194.8,165,194.8,165,168,113,582,2,15,"in",0,2,0,7,1,114,"y",22,"usually",22,"usually",2,"He has a double natu",23,"In ancient Roman religion and",182,2,1,8,2,0,1,-5,7,3,0,0,NA,NA,2,1,8,2,0,1,-5,7,3,0,0,NA,NA,8,12,1,1,12,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658982","uk01",1,2,"1",1,30,6602,6789,428,160.4,428,160.4,168,188,568,15,8,"in",0,2,0,22,4,129,"a",25,"having",25,"having",2,"He has a double natu",23,"In ancient Roman religion and",182,1,1,8,1,0,0,13,2,-1.5,0,0,NA,NA,1,1,8,1,0,0,12,3,-0.5,0,0,NA,NA,11,13,1,1,13,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658983","uk01",1,2,"1",1,31,6814,7057,539.2,158.2,539.2,158.2,168,244,570,8,16,"in",0,2,0,30,5,137,"o",26,"two",26,"two",2,"He has a double natu",23,"In ancient Roman religion and",182,1,1,8,1,0,0,5,3,1,0,0,NA,NA,1,1,8,1,0,0,4,4,2,0,0,NA,NA,12,14,1,1,14,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658984","uk01",1,2,"1",1,32,7095,7262,779,154.1,779,154.1,168,168,576,16,-4,"in",0,2,0,46,8,153,"e",29,"he",29,"he",2,"He has a double natu",23,"In ancient Roman religion and",182,1,1,8,1,0,0,14,2,0.5,1,0,28,NA,1,1,8,1,0,0,13,3,1.5,1,0,28,NA,15,15,1,1,15,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658985","uk01",1,2,"1",1,33,7286,7492,716.6,157.3,716.6,157.3,168,207,586,-4,6,"in",0,2,0,42,7,149,"c",28,"since",28,"since",2,"He has a double natu",23,"In ancient Roman religion and",182,1,1,9,1,1,0,-2,4,1,0,1,NA,29,1,1,9,1,1,0,-1,5,2,0,1,NA,29,14,16,1,1,16,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658986","uk01",1,2,"1",1,34,7517,7656,813.7,148.4,813.7,148.4,168,140,593,6,16,"in",0,2,0,48,9,155,"l",30,"looks",30,"looks",2,"He has a double natu",23,"In ancient Roman religion and",182,1,1,9,1,0,0,5,1,-2,0,0,NA,NA,1,1,9,1,0,0,4,2,-1,0,0,NA,NA,16,17,1,1,17,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658987","uk01",1,2,"1",1,35,7696,7945,1054.9,150.3,1054.9,150.3,168,250,587,16,-9,"in",0,2,0,64,12,171,"u",33,"future",33,"future",2,"He has a double natu",23,"In ancient Roman religion and",182,1,1,9,1,0,0,12,4,0.5,1,0,31,NA,1,1,9,1,0,0,11,5,1.5,1,0,31,NA,19,18,1,1,18,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658988","uk01",1,2,"1",1,36,7982,8118,916,146,916,146,168,137,587,-9,21,"in",0,2,0,55,10,162,"o",31,"to",31,"to",2,"He has a double natu",23,"In ancient Roman religion and",182,1,1,10,1,1,0,-5,2,0.5,0,1,NA,33,1,1,10,1,1,0,-4,3,1.5,0,1,NA,33,17,19,1,1,19,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658989","uk01",1,2,"1",1,37,8172,8349,1232.7,163,1232.7,163,168,178,570,21,15,"in",0,2,0,76,15,183,"h",36,"the",36,"the",2,"He has a double natu",23,"In ancient Roman religion and",182,1,1,10,1,0,0,19,2,0,0,0,NA,NA,1,1,10,1,0,0,18,3,1,0,0,NA,NA,22,20,1,1,20,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658990","uk01",1,2,"1",1,38,8397,8551,1450.8,178.5,1450.8,178.5,168,155,553,15,1,"in",1,2,0,91,18,198,"p",39,"presided",39,"presided",3,"Janus presided over ",14,"In ancient Roman religion and",182,1,1,10,1,0,0,14,1,-3.5,0,0,NA,NA,1,1,10,1,0,0,13,2,-2.5,0,0,NA,NA,2,1,1,1,1,0,0,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658991","uk01",1,2,"1",1,39,8658,8868,1471.2,194.5,1471.2,194.5,168,211,578,1,6,"in",1,2,0,92,18,199,"r",39,"presided",39,"presided",3,"Janus presided over ",14,"In ancient Roman religion and",182,2,1,10,2,0,1,-1,2,-2.5,0,0,NA,NA,2,1,10,2,0,1,-2,3,-1.5,0,0,NA,NA,2,2,1,1,2,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658992","uk01",1,2,"1",1,40,8894,9101,1557.6,202.9,1557.6,202.9,168,208,603,6,2,"in",0,2,0,98,18,205,"d",39,"presided",39,"presided",3,"Janus presided over ",14,"In ancient Roman religion and",182,3,1,10,3,0,1,-2,8,3.5,0,0,NA,NA,3,1,10,3,0,1,-3,9,4.5,0,0,NA,NA,2,3,1,1,3,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658993","uk01",1,2,"1",1,41,9121,9331,1598.1,194.3,1598.1,194.3,168,211,591,2,4,"in",0,2,0,100,19,207,"o",40,"over",40,"over",3,"Janus presided over ",14,"In ancient Roman religion and",182,1,1,10,1,0,0,1,1,-1.5,0,0,NA,NA,1,1,10,1,0,0,0,2,-0.5,0,0,NA,NA,3,4,1,1,4,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658994","uk01",1,2,"1",1,42,9352,9534,1646.6,189,1646.6,189,168,183,580,4,-87,"in",0,2,0,104,20,211," ",41,"the",41,"the",3,"Janus presided over ",14,"In ancient Roman religion and",182,1,1,10,1,0,0,4,0,-2,0,0,NA,NA,1,1,10,1,0,0,3,1,-1,0,0,NA,NA,4,5,1,1,5,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658995","uk01",1,2,"1",1,43,9637,9727,348.2,229.2,348.2,229.2,235,91,645,-87,-11,"in",0,3,1,17,3,231,"d",44,"ending",44,"ending",3,"Janus presided over ",14,"In ancient Roman religion and",182,1,1,10,1,0,0,-87,3,-0.5,1,0,42,NA,1,1,10,1,0,0,-86,4,0.5,1,0,42,NA,7,6,1,1,6,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658996","uk01",1,2,"1",1,44,9773,9974,183.2,244.5,183.2,244.5,235,202,625,-11,-1,"in",0,3,0,6,1,220,"n",42,"beginning",42,"beginning",3,"Janus presided over ",14,"In ancient Roman religion and",182,1,1,11,1,1,0,-8,6,1,0,1,NA,44,1,1,11,1,1,0,-7,6,1,0,1,NA,44,5,7,1,1,7,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658997","uk01",1,2,"1",1,45,9983,10275,165.7,235.6,165.7,235.6,235,293,582,-1,12,"in",0,3,0,5,1,219,"n",42,"beginning",42,"beginning",3,"Janus presided over ",14,"In ancient Roman religion and",182,2,1,11,2,0,1,5,5,0,0,0,NA,NA,2,1,11,2,0,1,5,5,0,0,0,NA,NA,5,8,1,1,8,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658998","uk01",1,2,"1",1,46,10306,10576,347.1,228.8,347.1,228.8,235,271,581,12,4,"in",0,3,0,17,3,231,"d",44,"ending",44,"ending",3,"Janus presided over ",14,"In ancient Roman religion and",182,2,2,11,1,0,0,9,3,-0.5,0,0,NA,NA,2,2,11,1,0,0,8,4,0.5,0,0,NA,NA,7,9,1,1,9,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1658999","uk01",1,2,"1",1,47,10601,10770,409,227.5,409,227.5,235,170,597,4,-4,"in",0,3,0,21,4,235," ",45,"of",45,"of",3,"Janus presided over ",14,"In ancient Roman religion and",182,1,1,11,1,0,0,4,0,-1.5,1,0,44,NA,1,1,11,1,0,0,3,1,-0.5,1,0,44,NA,8,10,1,1,10,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1659000","uk01",1,2,"1",1,48,10794,10963,345.2,232.2,345.2,232.2,235,170,607,-4,-5,"in",0,3,0,17,3,231,"d",44,"ending",44,"ending",3,"Janus presided over ",14,"In ancient Roman religion and",182,3,3,12,1,0,0,-4,3,-0.5,1,1,43,45,3,3,12,1,0,0,-3,4,0.5,1,1,43,45,7,11,1,1,11,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1659001","uk01",1,2,"1",1,49,10991,11024,276.9,236.1,276.9,236.1,235,34,605,-5,10,"in",0,3,0,12,2,226,"n",43,"and",43,"and",3,"Janus presided over ",14,"In ancient Roman religion and",182,1,1,12,1,1,0,-2,2,0,0,1,NA,44,1,1,12,1,1,0,-1,3,1,0,1,NA,44,6,12,1,1,12,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
"1659002","uk01",1,2,"1",1,50,11067,11179,425.4,229,425.4,229,235,113,610,10,20,"in",0,3,0,22,4,236,"o",45,"of",45,"of",3,"Janus presided over ",14,"In ancient Roman religion and",182,2,2,12,1,0,0,9,1,-0.5,0,0,NA,NA,2,2,12,1,0,0,8,2,0.5,0,0,NA,NA,8,13,1,1,13,0,1,0,0,NA,NA,"en_uk",NA,NA,"en_uk_1"
