id,in_span_mean,out_span_mean,relative_TRT,token_count,token_avg_length,Text_TRT,Target_TRT,Fix_Target,target_to_fixation_ratio,Fix_Total,Correct_Flag
AT6LDQNLKTUSE,0,172.33333333333334,0.0,114,4.342105263157895,10148.0,0.0,0,0.0,115,0
ATA9BBCLTE2HS,56.0,85.75,0.011494252873563218,106,4.2075471698113205,4872.0,56.0,1,0.0172413793,58,1
AUA3VQ48GSMLF,0,78.0,0.0,124,4.338709677419355,573.0,0.0,0,0.0,10,1
AX8NXTT8QMGHC,819.0,258.0357142857143,0.04292677813302584,89,5.067415730337078,19079.0,819.0,6,0.032967033,182,1
AXY0D2AMLKE2A,107.66666666666667,140.08695652173913,0.0449672838646805,108,4.018518518518518,7183.0,323.0,3,0.0337078652,89,0
AYQTQYOLTNY0Y,62.0,85.66666666666667,0.032274856845393024,106,4.2075471698113205,1921.0,62.0,1,0.04,25,1
AYY0UC6KCN9RW,283.05882352941177,373.5882352941176,0.21694017539289745,112,3.625,23034.0,4997.0,74,0.212034384,349,0
AYYSG3O9FNU15,147.0,154.16666666666666,0.036431226765799254,89,5.067415730337078,4035.0,147.0,2,0.0540540541,37,1
AZU9D7YLCTAYV,238.05882352941177,326.6829268292683,0.14988871456197322,112,3.625,27407.0,4108.0,39,0.1857142857,210,0
p1-lab-control,197.8125,191.52,0.2883699841305826,112,3.625,13233.0,3816.0,35,0.3043478261,115,1
A10BH9PYCYUKDJ,239.66666666666666,476.68888888888887,0.023431413675316114,102,4.294117647058823,33374.0,782.0,7,0.0330188679,212,0
A10W3EILX06DFO,53.0,108.31111111111112,0.0,107,4.5233644859813085,7790.0,0.0,0,0.0,138,1
A11EZAV2HRYKD5,60.333333333333336,414.1730769230769,0.010243867857649228,122,4.19672131147541,28212.0,289.0,5,0.0125944584,397,1
A11YS0T8MV3Q7C,877.3333333333334,406.8965517241379,0.0805036031741581,102,4.294117647058823,35663.0,2871.0,18,0.0594059406,303,1
A12HLLXWOQJ14Q,0,177.58333333333334,0.0,122,3.9672131147540974,7781.0,0.0,0,0.0,102,0
A12NT768CR36E5,0,177.13636363636363,0.0,107,4.878504672897196,11336.0,0.0,0,0.0,127,1
A13WTEQ06V3B6D,0,278.4375,0.0,81,4.444444444444445,7489.0,0.0,0,0.0,69,1
A160BYMX7X0EPG,0,253.9056603773585,0.0,106,4.773584905660377,18376.0,0.0,0,0.0,245,0
A17Q4QN6UE0EZC,443.0,154.19230769230768,0.14967081199707388,109,4.458715596330276,6835.0,1023.0,9,0.1125,80,0
A18JFH5XQAUVAK,72.0,137.05555555555554,0.010638297872340425,91,5.208791208791209,6768.0,72.0,1,0.0120481928,83,0
A19F9CLZ0XWBYR,182.3846153846154,121.19047619047619,0.31689973927470966,107,4.878504672897196,8438.0,2674.0,28,0.3010752688,93,0
A19L8SNH73AX1Z,256.57142857142856,256.7368421052632,0.09512060023163302,100,4.34,19859.0,1889.0,15,0.0815217391,184,0
A1B7X75L6JOPGM,131.6,133.24242424242425,0.12388745334481768,122,4.19672131147541,6966.0,863.0,12,0.125,96,0
A1BASVXQK125PD,320.0,238.05882352941177,0.05564894788707901,122,3.9672131147540974,17251.0,960.0,11,0.047826087,230,0
A1CPY1HLCFTIL1,326.5,664.2203389830509,0.01220925884376636,106,4.773584905660377,53484.0,653.0,8,0.015625,512,1
A1D26DHX9CDRGI,76.5,112.52173913043478,0.03444394416929311,108,4.694444444444445,4442.0,153.0,2,0.0350877193,57,1
A1D41E24S4E4I4,307.0,292.44642857142856,0.0,107,4.5233644859813085,23590.0,0.0,0,0.0,265,1
A1HR8IRDC07FO9,1096.0,308.7878787878788,0.06211391328988382,91,5.208791208791209,17645.0,1096.0,11,0.0509259259,216,1
A1IJ6E21R29K53,0,235.23333333333332,0.0,113,4.017699115044247,12807.0,0.0,0,0.0,148,0
